democratic	democratic7	energy	random	static
1 50.8333	1 50.8333	1 5.2	1 4.85	
2 4	2 1.66667	2 4.36667	2 4.95	
3 5.16667	3 3.2	3 5.63333	3 5.2	
4 4.66667	4 3.46667	4 3.46667	4 5.18333	
5 4.26667	5 3.23333	5 5.25	5 5.18333	
6 4.68333	6 3.85	6 4.06667	6 5.15	
7 4.26667	7 2.51667	7 5	7 5	
8 4.86667	8 3.15	8 3.96667	8 5.15	
9 4.41667	9 4.1	9 5.43333	9 5.16667	
10 5.23333	10 3.11667	10 3.88333	10 4.73333	
11 4.35	11 3.51667	11 5.51667	11 4.93333	
12 4.9	12 3.43333	12 4.16667	12 5.1	
13 4.2	13 2.86667	13 4.91667	13 4.3	
14 4.85	14 3.58333	14 4.28333	14 3.88333	
15 3.98333	15 3.45	15 4.7	15 4.41667	
16 4.76667	16 2.73333	16 4.61667	16 3.68333	
17 0	17 3.56667	17 4.71667	17 2.85	
18 0	18 2.7	18 4.36667	18 3.13333	
19 0	19 3.51667	19 0.533333	19 2.58333	
20 0	20 3.75	20 0	20 2.61667	
21 0	21 2.66667	21 0	21 2.13333	
22 0	22 0.916667	22 0	22 1.63333	
23 0	23 0	23 0	23 1.58333	
24 0	24 0	24 0	24 1.28333	
25 0	25 0	25 0	25 1.2	
26 0	26 0	26 0	26 1.11667	
27 0	27 0	27 0	27 0.8	
28 0	28 0	28 0	28 0.75	
29 0	29 0	29 0	29 0.5	
30 0	30 0	30 0	30 0.233333	
31 0	31 0	31 0	31 0.383333	
32 0	32 0	32 0	32 0.216667	
33 0	33 0	33 0	33 0.183333	
34 0	34 0	34 0	34 0.0666667	
35 0	35 0	35 0	35 0.0333333	
36 0	36 0	36 0	36 0.116667	
37 0	37 0	37 0	37 0.0833333	
38 0	38 0	38 0	38 0.1	
39 0	39 0	39 0	39 0.0666667	
40 0	40 0	40 0	40 0.0166667	
41 0	41 0	41 0	41 0.0166667	
42 0	42 0	42 0	42 0.0666667	
43 0	43 0	43 0	43 0.0333333	
44 0	44 0	44 0	44 0	
45 0	45 0	45 0	45 0	
46 0	46 0	46 0	46 0	
47 0	47 0	47 0	47 0	
48 0	48 0	48 0	48 0	
49 0	49 0	49 0	49 0	
50 0	50 0	50 0	50 0	
51 0	51 0	51 0	51 0	
52 0	52 0	52 0	52 0	
53 0	53 0	53 0	53 0	
54 0	54 0	54 0	54 0	
55 0	55 0	55 0	55 0	
56 0	56 0	56 0	56 0	
57 0	57 0	57 0	57 0	
58 0	58 0	58 0	58 0	
59 0	59 0	59 0	59 0	
60 0	60 0	60 0	60 0	
