21 15.5272	21 20.886	21 17.7698	21 27.4445	
20 15.5288	20 20.9067	20 17.7905	20 28.1323	
19 15.5306	19 20.9198	19 17.8068	19 28.6073	
18 15.5388	18 20.9443	18 17.8468	18 28.9773	
17 15.5526	17 20.9643	17 17.8548	17 29.353	
16 15.5691	16 20.995	16 17.8577	16 29.8945	
15 15.6167	15 21.0202	15 17.8585	15 30.5838	
14 15.6609	14 21.0257	14 17.8613	14 31.036	
13 15.6789	13 21.032	13 17.863	13 31.8748	
12 15.6817	12 21.0453	12 17.871	12 32.4105	
11 15.6828	11 21.0628	11 17.8903	11 33.408	
10 15.6844	10 21.0805	10 17.909	10 33.9462	
9 15.6873	9 21.1155	9 17.921	9 35.6995	
8 15.6891	8 21.1475	8 17.9467	8 36.8787	
7 15.6954	7 21.166	7 17.9797	7 38.5792	
6 15.7039	6 21.1712	6 18.0072	6 40.4157	
5 15.715	5 21.1847	5 18.0102	5 42.2388	
4 15.7652	4 21.1905	4 18.0125	4 43.7908	
3 15.793	3 21.2053	3 18.0152	3 46.6428	
2 15.8316	2 21.2253	2 18.017	2 49.8673	
1 15.8608	1 21.2558	1 18.0347	1 53.3247	
0 15.9065	0 21.2902	0 18.0692	0 58.9133	
