99 0	99 0	99 0	99 0	99 0
98 14.2337	98 19.2727	98 16.3911	98 7.8428	98 1.82432
97 14.2678	97 19.2993	97 16.4898	97 9.25267	97 1.83942
96 14.2888	96 19.3248	96 16.5337	96 9.96082	96 1.87961
95 14.3004	95 19.3373	95 16.6117	95 10.6455	95 1.89786
94 14.306	94 19.39	94 16.6432	94 11.2159	94 1.95026
93 14.3097	93 19.4147	93 16.6496	93 11.6207	93 2.0652
92 14.3168	92 19.4422	92 16.6554	92 11.8229	92 2.14847
91 14.3212	91 19.4743	91 16.6738	91 12.1725	91 2.2181
90 14.3683	90 19.486	90 16.721	90 12.3787	90 2.51187
89 14.4359	89 19.4948	89 16.7562	89 12.7371	89 15.3392
88 14.4524	88 19.5667	88 16.7857	88 12.9885	89 63.3333
87 14.455	87 19.5977	87 16.8025	87 13.2481	
86 14.4562	86 19.624	86 16.8063	86 13.6305	
85 14.4571	85 19.6657	85 16.8118	85 13.8844	
84 14.4584	84 19.7018	84 16.8238	84 14.3198	
83 14.4606	83 19.7355	83 16.8423	83 14.4964	
82 14.5022	82 19.7542	82 16.8948	82 14.5814	
81 14.5689	81 19.7842	81 16.9203	81 14.7935	
80 14.6113	80 19.7908	80 16.9282	80 14.9871	
79 14.6222	79 19.8155	79 16.9318	79 15.1008	
78 14.6285	78 19.8415	78 16.9355	78 15.3209	
77 14.6317	77 19.851	77 16.9382	77 15.4516	
76 14.6457	76 19.8738	76 16.944	76 15.6683	
75 14.702	75 19.9017	75 16.9705	75 16.02	
74 14.7384	74 19.9248	74 16.9803	74 16.0907	
73 14.7544	73 19.9552	73 17.009	73 16.2301	
72 14.7567	72 19.9662	72 17.0248	72 16.4163	
71 14.7634	71 19.9868	71 17.06	71 16.5595	
70 14.7683	70 19.9903	70 17.0985	70 16.786	
69 14.7776	69 19.999	69 17.106	69 16.9489	
68 14.7903	68 20.0492	68 17.1103	68 17.0901	
67 14.8608	67 20.068	67 17.1245	67 17.2202	
66 14.9033	66 20.0825	66 17.1298	66 17.3405	
65 14.9054	65 20.1033	65 17.1368	65 17.4565	
64 14.9071	64 20.12	64 17.1717	64 17.5603	
63 14.91	63 20.1477	63 17.1743	63 17.7462	
62 14.9122	62 20.1583	62 17.2002	62 17.8507	
61 14.9137	61 20.2005	61 17.2342	61 17.9707	
60 14.9149	60 20.223	60 17.2515	60 18.1015	
59 14.9172	59 20.2453	59 17.2603	59 18.327	
58 14.9193	58 20.2617	58 17.2648	58 18.5022	
57 14.9339	57 20.2677	57 17.2725	57 18.6042	
56 14.9756	56 20.2772	56 17.2898	56 18.9395	
55 15.0327	55 20.292	55 17.3082	55 19.1815	
54 15.0567	54 20.3152	54 17.3235	54 19.4577	
53 15.06	53 20.3325	53 17.3447	53 19.5602	
52 15.0639	52 20.3623	52 17.3575	52 19.8077	
51 15.0668	51 20.385	51 17.3838	51 19.9287	
50 15.0691	50 20.3923	50 17.3925	50 20.1228	
49 15.0731	49 20.4052	49 17.3942	49 20.1948	
48 15.0763	48 20.4098	48 17.3997	48 20.3518	
47 15.088	47 20.4255	47 17.406	47 20.5095	
46 15.113	46 20.4438	46 17.4102	46 20.7658	
45 15.1849	45 20.465	45 17.4253	45 21.0108	
44 15.201	44 20.5032	44 17.4365	44 21.1772	
43 15.2185	43 20.5233	43 17.4582	43 21.2858	
42 15.2206	42 20.5327	42 17.485	42 21.5468	
41 15.2239	41 20.5458	41 17.5182	41 21.7638	
40 15.2263	40 20.5625	40 17.5388	40 21.9735	
39 15.2271	39 20.5692	39 17.5503	39 22.3753	
38 15.2291	38 20.576	38 17.5517	38 22.4978	
37 15.2449	37 20.5945	37 17.553	37 22.7798	
36 15.2512	36 20.6223	36 17.555	36 23.055	
35 15.329	35 20.6408	35 17.5563	35 23.2513	
34 15.35	34 20.6717	34 17.5663	34 23.3635	
33 15.3694	33 20.6925	33 17.584	33 23.6143	
32 15.3719	32 20.7113	32 17.6098	32 23.8542	
31 15.3759	31 20.7212	31 17.6458	31 24.1973	
30 15.3781	30 20.734	30 17.6715	30 24.543	
29 15.3849	29 20.7488	29 17.6917	29 24.8248	
28 15.403	28 20.7647	28 17.7078	28 25.1065	
27 15.4147	27 20.7902	27 17.7103	27 25.3723	
26 15.4353	26 20.8158	26 17.713	26 25.6395	
25 15.4826	25 20.839	25 17.7152	25 25.8522	
24 15.5078	24 20.856	24 17.7175	24 26.3707	
23 15.5256	23 20.8662	23 17.7383	23 26.7135	
22 15.5264	22 20.8743	22 17.7532	22 27.1423	
