0 democratic	democratic7	energy	random	static
0 0 0	0 0	0 0	0 0	0 0
1 0.190251 2.72552	0.241207 2.67878	0.442697 0.594849	0.553102 0.526073	1.44271 0.519524
2 0.310868 3.23997	0.267657 3.02407	0.220051 1.14884	0.866093 1.06344	2.917 1.05139
3 0.183803 3.75257	0.298635 3.41758	0.367824 1.7582	1.05738 1.59124	4.38638 1.58184
4 0.297 4.28517	0.194333 3.78466	0.280863 2.29042	1.20335 2.10678	5.56089 2.01896
5 0.224761 4.80515	0.292301 4.17391	0.303576 2.91332	1.34231 2.64918	5.73472 2.13656
6 0.287022 5.34261	0.26386 4.57698	0.30779 3.47683	1.50017 3.19009	5.83451 2.223
7 0.230984 5.86109	0.20082 4.93619	0.254989 4.09085	1.6832 3.73015	5.86464 2.28298
8 0.268367 6.39825	0.278294 5.31948	0.294214 4.63671	1.83298 4.2579	5.85657 2.32717
9 0.249488 6.91217	0.235731 5.71492	0.253868 5.23763	1.98444 4.79762	5.84227 2.37034
10 0.271034 7.4598	0.247265 6.08595	0.305199 5.80742	2.07303 5.33031	5.82804 2.41336
11 0.242293 7.97413	0.289464 6.4795	0.247121 6.39892	2.17118 5.8703	5.81367 2.45675
12 0.249231 8.50892	0.206756 6.86127	0.310964 6.98268	2.31233 6.41026	5.79922 2.50038
13 0.244592 9.01532	0.273691 7.23546	0.245592 7.55492	2.38245 6.92183	5.78553 2.54175
14 0.23521 9.54507	0.272626 7.61979	0.31326 8.13156	2.43546 7.45467	5.77131 2.5847
15 0.27375 10.0606	0.201616 7.99101	0.231313 8.70378	2.53032 8.00074	5.75725 2.62719
16 0.221139 10.6064	0.295974 8.38666	0.324869 9.31219	2.65635 8.55062	5.74247 2.67183
17 0.275775 11.1262	0.244485 8.78781	0.253471 9.89169	2.76705 9.09106	5.72789 2.71589
18 0.216166 11.6621	0.241002 9.15092	0.314324 10.4821	2.84428 9.62744	5.71361 2.75905
19 0.262546 12.1785	0.288736 9.54452	0.237135 11.0494	2.9369 10.1527	5.69985 2.80058
20 0.244589 12.708	0.197169 9.91644	0.3007 11.6427	3.04477 10.6932	5.68578 2.84306
21 0.249243 13.2351	0.268879 10.2928	0.243691 12.2123	3.13038 11.227	5.6716 2.88591
22 0.242348 13.7565	0.24242 10.6869	0.283945 12.7942	3.20719 11.7468	5.65755 2.92826
23 0.247582 14.2795	0.227779 11.0539	0.252345 13.3658	3.23677 12.2783	5.64304 2.97215
24 0.226485 14.8088	0.276635 11.4454	0.279946 13.9645	3.27977 12.7902	5.62866 3.01554
25 0.275883 15.3455	0.22777 11.8418	0.26276 14.5459	3.31173 13.303	5.61408 3.05953
26 0.212465 15.8725	0.243598 12.2137	0.274441 15.139	3.30699 13.7922	5.59967 3.10308
27 0.28931 16.4073	0.273235 12.6123	0.254744 15.7092	3.32909 14.2893	5.58527 3.14653
28 0.233957 16.9376	0.232162 12.996	0.294316 16.3221	3.31693 14.7723	5.57063 3.19078
29 0.272769 17.4703	0.265256 13.3783	0.270458 16.8909	3.32425 15.2204	5.55622 3.23445
30 0.262698 18.0047	0.247054 13.7766	0.29308 17.5096	3.29034 15.6192	5.5414 3.27919
31 0.252292 18.5298	0.240864 14.1521	0.292692 18.0764	3.24062 16.0188	5.52724 3.32194
32 0.255986 19.0518	0.252298 14.5396	0.254548 18.6714	3.17112 16.3897	5.51297 3.36505
33 0.243066 19.5994	0.243929 14.9247	0.309271 19.2502	3.09517 16.7367	5.49859 3.40848
34 0.0771057 19.9419	0.248789 15.3181	0.181218 19.8078	3.01748 17.0723	5.48372 3.45334
35 0.000598062 20.0005	0.241699 15.6987	0.00660544 19.9989	2.93679 17.3519	5.4699 3.49508
36 0.000598062 20.0005	0.257462 16.0783	0.000698577 20.0006	2.83236 17.6097	5.45549 3.53868
37 0.000598062 20.0005	0.230546 16.4578	0.000698577 20.0006	2.75639 17.8499	5.44154 3.58087
38 0.000598062 20.0005	0.243892 16.8349	0.000698577 20.0006	2.64177 18.0517	5.42755 3.62315
