0 democratic	democratic7	energy	random	static
39 0.000598062 20.0005	0.258569 17.2217	0.000698577 20.0006	2.54639 18.2333	5.41352 3.66558
40 0.000598062 20.0005	0.232338 17.5855	0.000698577 20.0006	2.44903 18.4003	5.39996 3.70662
41 0.000598062 20.0005	0.258833 17.9561	0.000698577 20.0006	2.35902 18.5256	5.38645 3.7475
42 0.000598062 20.0005	0.218866 18.3383	0.000698577 20.0006	2.26825 18.6592	5.37248 3.78965
43 0.000598062 20.0005	0.267542 18.7179	0.000698577 20.0006	2.18032 18.7827	5.35842 3.8321
44 0.000598062 20.0005	0.253772 19.1073	0.000698577 20.0006	2.10801 18.8789	5.34369 3.87665
45 0.000598062 20.0005	0.243655 19.497	0.000698577 20.0006	2.03929 18.9661	5.32894 3.92123
46 0.000598062 20.0005	0.188002 19.8149	0.000698577 20.0006	1.95625 19.046	5.3146 3.96459
47 0.000598062 20.0005	0.0435558 19.9821	0.000698577 20.0006	1.8823 19.1198	5.30037 4.00766
48 0.000598062 20.0005	0.000636553 20.0005	0.000698577 20.0006	1.82233 19.1803	5.28691 4.04844
49 0.000598062 20.0005	0.000636553 20.0005	0.000698577 20.0006	1.75281 19.2349	5.2727 4.09132
50 0.000598062 20.0005	0.000636553 20.0005	0.000698577 20.0006	1.69447 19.29	5.259 4.13277
51 0.000598062 20.0005	0.000636553 20.0005	0.000698577 20.0006	1.64512 19.335	5.24414 4.17767
52 0.000598062 20.0005	0.000636553 20.0005	0.000698577 20.0006	1.58902 19.3773	5.2296 4.22154
53 0.000598062 20.0005	0.000636553 20.0005	0.000698577 20.0006	1.53401 19.4165	5.21528 4.26482
54 0.000598062 20.0005	0.000636553 20.0005	0.000698577 20.0006	1.4961 19.4426	5.20123 4.30721
55 0.000598062 20.0005	0.000636553 20.0005	0.000698577 20.0006	1.44522 19.4727	5.18648 4.35174
56 0.000598062 20.0005	0.000636553 20.0005	0.000698577 20.0006	1.40515 19.4943	5.17245 4.39413
57 0.000598062 20.0005	0.000636553 20.0005	0.000698577 20.0006	1.34942 19.5211	5.15802 4.43776
58 0.000598062 20.0005	0.000636553 20.0005	0.000698577 20.0006	1.30811 19.5429	5.14412 4.47973
59 0.000598062 20.0005	0.000636553 20.0005	0.000698577 20.0006	1.26355 19.5655	5.12977 4.52307
60 0.000598062 20.0005	0.000636553 20.0005	0.000698577 20.0006	1.2164 19.5909	5.11474 4.56845
