0 125031.0 125031.0
1 125028.233333 125028.433333
2 125026.866667 125028.4
3 125025.4 125027.833333
4 125024.2 125026.266667
5 125022.866667 125026.5
6 125022.0 125026.066667
7 125021.7 125025.533333
8 125019.933333 125025.133333
9 125018.033333 125024.0
10 125016.7 125023.033333
11 125017.5 125022.066667
12 125014.333333 125019.7
13 125014.333333 125020.2
14 125012.9 125020.766667
15 125013.7 125019.566667
16 125010.6 125020.1
17 125009.133333 125019.433333
18 125006.933333 125018.633333
19 125006.3 125019.2
20 125004.4 125018.633333
21 125004.333333 125017.8
22 125003.4 125017.766667
23 125001.8 125017.7
24 125001.466667 125015.966667
25 125000.166667 125016.966667
26 124999.2 125017.366667
27 124998.5 125016.0
28 124996.133333 125015.533333
29 124995.566667 125015.533333
30 124994.533333 125014.833333
31 124994.066667 125014.333333
