# Écart type de l'énergie résiduelle des nœuds en fonction du temps
#==================================================================
# Temps      Écart type
#==================================================================
0 0.0
1 3.38312807259
2 4.2640617048
3 4.0463975748
4 4.15852537967
5 4.30297055017
6 3.66969571854
7 2.87691964898
8 3.77653574355
9 3.57289176377
10 2.93428015022
11 2.2323380867
12 4.01939741201
13 3.11269800799
14 3.08058436015
15 2.23830292856
16 3.27210431782
17 3.19095945169
18 3.21385887819
19 3.15330514434
20 3.85227205685
21 3.17630113323
22 3.77359245282
23 3.91918358845
24 2.9295430057
25 3.43592135469
26 3.4292856399
27 3.05232152085
28 3.1276544282
29 2.56493448044
30 3.43252417651
31 3.27549826576
